,home,away,date,season,venue,type,toss,winner,man_of_match,points
0,Chennai Super Kings,Mumbai Indians,"4th April, 2012",2012 - 1st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Richard Levi,
1,Kolkata Knight Riders,Delhi Daredevils,"5th April, 2012",2012 - 2nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Irfan Pathan,"Delhi Daredevils 2, Kolkata Knight Riders 0"
2,Mumbai Indians,Pune Warriors,"6th April, 2012",2012 - 3rd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Pune Warriors won by 28 runs,Steve Smith,
3,Rajasthan Royals,Kings XI Punjab,"6th April, 2012",2012 - 4th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Rajasthan Royals won by 31 runs,Ajinkya Rahane,
4,Royal Challengers Bangalore,Delhi Daredevils,"7th April, 2012",2012 - 5th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Royal Challengers Bangalore won by 20 runs,AB de Villiers,
5,Deccan Chargers,Chennai Super Kings,"7th April, 2012",2012 - 6th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Chennai Super Kings won by 74 runs,Ravindra Jadeja,
6,Rajasthan Royals,Kolkata Knight Riders,"8th April, 2012",2012 - 7th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won by 22 runs,Bradley Hodge,
7,Pune Warriors,Kings XI Punjab,"8th April, 2012",2012 - 8th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Pune Warriors won by 22 runs,Marlon Samuels,
8,Deccan Chargers,Mumbai Indians,"9th April, 2012",2012 - 9th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Mumbai Indians won by 5 wickets,Rohit Sharma,
9,Royal Challengers Bangalore,Kolkata Knight Riders,"10th April, 2012",2012 - 10th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kolkata Knight Riders won by 42 runs,No Award,
10,Delhi Daredevils,Chennai Super Kings,"10th April, 2012",2012 - 11th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Morne Morkel,
11,Mumbai Indians,Rajasthan Royals,"11th April, 2012",2012 - 12th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Mumbai Indians won by 27 runs,Kieron Pollard,
12,Chennai Super Kings,Royal Challengers Bangalore,"12th April, 2012",2012 - 13th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Faf du Plessis,
13,Kings XI Punjab,Pune Warriors,"12th April, 2012",2012 - 14th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,Dimitri Mascarenhas,
14,Kolkata Knight Riders,Rajasthan Royals,"13th April, 2012",2012 - 15th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Shakib Al Hasan,
15,Pune Warriors,Chennai Super Kings,"14th April, 2012",2012 - 16th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Pune Warriors won by 7 wickets,Jesse Ryder,
16,Kolkata Knight Riders,Kings XI Punjab,"15th April, 2012",2012 - 17th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 2 runs,Sunil Narine,
17,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2012",2012 - 18th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 59 runs,Ajinkya Rahane,
18,Mumbai Indians,Delhi Daredevils,"16th April, 2012",2012 - 19th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Shahbaz Nadeem,
19,Rajasthan Royals,Deccan Chargers,"17th April, 2012",2012 - 20th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Bradley Hodge,
20,Royal Challengers Bangalore,Pune Warriors,"17th April, 2012",2012 - 21st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets,Chris Gayle,
21,Kings XI Punjab,Kolkata Knight Riders,"18th April, 2012",2012 - 22nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Gautam Gambhir,
22,Delhi Daredevils,Deccan Chargers,"19th April, 2012",2012 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Delhi Daredevils won by 5 wickets,Kevin Pietersen,
23,Chennai Super Kings,Pune Warriors,"19th April, 2012",2012 - 24th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Chennai Super Kings won by 13 runs,Nuwan Kulasekara,
