,home,away,date,season,venue,type,toss,winner,man_of_match,points
0,Royal Challengers Bangalore,Kolkata Knight Riders,"18th April, 2008",2008 - 1st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kolkata Knight Riders won by 140 runs,Brendon McCullum,
1,Kings XI Punjab,Chennai Super Kings,"19th April, 2008",2008 - 2nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 33 runs,Michael Hussey,
2,Delhi Daredevils,Rajasthan Royals,"19th April, 2008",2008 - 3rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Delhi Daredevils won by 9 wickets,Farveez Maharoof,
3,Kolkata Knight Riders,Deccan Chargers,"20th April, 2008",2008 - 4th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,David Hussey,
4,Mumbai Indians,Royal Challengers Bangalore,"20th April, 2008",2008 - 5th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Royal Challengers Bangalore won by 5 wickets,Mark Boucher,
5,Rajasthan Royals,Kings XI Punjab,"21st April, 2008",2008 - 6th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Rajasthan Royals won by 6 wickets,Shane Watson,
6,Deccan Chargers,Delhi Daredevils,"22nd April, 2008",2008 - 7th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Delhi Daredevils won by 9 wickets,Virender Sehwag,
7,Chennai Super Kings,Mumbai Indians,"23rd April, 2008",2008 - 8th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Chennai Super Kings won by 6 runs,Matthew Hayden,
8,Deccan Chargers,Rajasthan Royals,"24th April, 2008",2008 - 9th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Yusuf Pathan,
9,Kings XI Punjab,Mumbai Indians,"25th April, 2008",2008 - 10th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kings XI Punjab won by 66 runs,Kumar Sangakkara,
10,Chennai Super Kings,Kolkata Knight Riders,"26th April, 2008",2008 - 11th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 9 wickets,Jacob Oram,
11,Royal Challengers Bangalore,Rajasthan Royals,"26th April, 2008",2008 - 12th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Shane Watson,
12,Kings XI Punjab,Delhi Daredevils,"27th April, 2008",2008 - 13th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kings XI Punjab won by 4 wickets,Simon Katich,
13,Mumbai Indians,Deccan Chargers,"27th April, 2008",2008 - 14th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 10 wickets,Adam Gilchrist,
14,Royal Challengers Bangalore,Chennai Super Kings,"28th April, 2008",2008 - 15th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 13 runs,M S Dhoni,
15,Kolkata Knight Riders,Mumbai Indians,"29th April, 2008",2008 - 16th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 7 wickets,Sanath Jayasuriya,
16,Delhi Daredevils,Royal Challengers Bangalore,"30th April, 2008",2008 - 17th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Delhi Daredevils won by 10 runs,Glenn McGrath,
17,Rajasthan Royals,Kolkata Knight Riders,"1st May, 2008",2008 - 18th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 45 runs,Swapnil Asnodkar,
18,Deccan Chargers,Kings XI Punjab,"1st May, 2008",2008 - 19th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,Shaun Marsh,
19,Chennai Super Kings,Delhi Daredevils,"2nd May, 2008",2008 - 20th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Delhi Daredevils won by 8 wickets,Virender Sehwag,
20,Royal Challengers Bangalore,Deccan Chargers,"3rd May, 2008",2008 - 21st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Royal Challengers Bangalore won by 3 runs,Praveen Kumar,
21,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2008",2008 - 22nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 9 runs,Irfan Pathan,"Kings XI Punjab 2, Kolkata Knight Riders 0"
22,Mumbai Indians,Delhi Daredevils,"4th May, 2008",2008 - 23rd Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 29 runs,Shaun Pollock,
23,Rajasthan Royals,Chennai Super Kings,"4th May, 2008",2008 - 24th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Rajasthan Royals won by 8 wickets,Sohail Tanvir,
24,Royal Challengers Bangalore,Kings XI Punjab,"5th May, 2008",2008 - 25th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Sreesanth,
25,Chennai Super Kings,Deccan Chargers,"6th May, 2008",2008 - 26th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Deccan Chargers won by 7 wickets,Adam Gilchrist,
26,Mumbai Indians,Rajasthan Royals,"7th May, 2008",2008 - 27th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 7 wickets,Ashish Nehra,
27,Delhi Daredevils,Chennai Super Kings,"8th May, 2008",2008 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,M S Dhoni,
28,Kolkata Knight Riders,Royal Challengers Bangalore,"8th May, 2008",2008 - 29th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 5 runs,Sourav Ganguly,
29,Rajasthan Royals,Deccan Chargers,"9th May, 2008",2008 - 30th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 8 wickets,Yusuf Pathan,
30,Chennai Super Kings,Kings XI Punjab,"10th May, 2008",2008 - 31st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Chennai Super Kings won by 18 runs,Lakshmipathy Balaji,
31,Deccan Chargers,Kolkata Knight Riders,"11th May, 2008",2008 - 32nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 23 runs,Sourav Ganguly,
32,Rajasthan Royals,Delhi Daredevils,"11th May, 2008",2008 - 33rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Shane Watson,
33,Kings XI Punjab,Royal Challengers Bangalore,"12th May, 2008",2008 - 34th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 9 wickets,Shaun Marsh,
34,Kolkata Knight Riders,Delhi Daredevils,"13th May, 2008",2008 - 35th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 23 runs,Shoaib Akhtar,
35,Mumbai Indians,Chennai Super Kings,"14th May, 2008",2008 - 36th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Sanath Jayasuriya,
36,Delhi Daredevils,Deccan Chargers,"15th May, 2008",2008 - 37th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Delhi Daredevils won by 12 runs,Amit Mishra,
37,Mumbai Indians,Kolkata Knight Riders,"16th May, 2008",2008 - 38th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Shaun Pollock,
38,Rajasthan Royals,Royal Challengers Bangalore,"17th May, 2008",2008 - 39th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rajasthan Royals won by 65 runs,Graeme Smith,
39,Delhi Daredevils,Kings XI Punjab,"17th May, 2008",2008 - 40th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kings XI Punjab won by 6 runs [D/L Method],Mahela Jayawardene,"Kings XI Punjab 2, Delhi Daredevils 0"
40,Kolkata Knight Riders,Chennai Super Kings,"18th May, 2008",2008 - 41st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 3 runs [D/L Method],Makhaya Ntini,"Chennai Super Kings 2, Kolkata Knight Riders 0"
41,Deccan Chargers,Mumbai Indians,"18th May, 2008",2008 - 42nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Mumbai Indians won by 25 runs,Dwayne Bravo,
42,Royal Challengers Bangalore,Delhi Daredevils,"19th May, 2008",2008 - 43rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 5 wickets,Shreevats Goswami,
43,Kolkata Knight Riders,Rajasthan Royals,"20th May, 2008",2008 - 44th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,Yusuf Pathan,
44,Kings XI Punjab,Mumbai Indians,"21st May, 2008",2008 - 45th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kings XI Punjab won by 1 run,Shaun Marsh,
45,Chennai Super Kings,Royal Challengers Bangalore,"21st May, 2008",2008 - 46th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 14 runs,Anil Kumble,
46,Delhi Daredevils,Kolkata Knight Riders,"22nd May, 2008",2008 - 47th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,"Delhi Daredevils 1, Kolkata Knight Riders 1"
47,Kings XI Punjab,Deccan Chargers,"23rd May, 2008",2008 - 48th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Shaun Marsh,
48,Chennai Super Kings,Rajasthan Royals,"24th May, 2008",2008 - 49th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 10 runs,Albie Morkel,
49,Delhi Daredevils,Mumbai Indians,"24th May, 2008",2008 - 50th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 5 wickets,Dinesh Karthik,
50,Deccan Chargers,Royal Challengers Bangalore,"25th May, 2008",2008 - 51st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Royal Challengers Bangalore won by 5 wickets,Vinay Kumar,
51,Kolkata Knight Riders,Kings XI Punjab,"25th May, 2008",2008 - 52nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 3 wickets,Umar Gul,
52,Rajasthan Royals,Mumbai Indians,"26th May, 2008",2008 - 53rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 5 wickets,Sohail Tanvir,
53,Deccan Chargers,Chennai Super Kings,"27th May, 2008",2008 - 54th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Suresh Raina,
